yl_t+60(mean),yl_t+1440(mean),yw_t+5(mean),yw_t+30(mean),ys_t+5(mean),ys_t+30(mean),ID,yl_t+60(U),yl_t+60(L),yl_t+1440(U),yl_t+1440(L),yw_t+5(U),yw_t+5(L),yw_t+30(U),yw_t+30(L),ys_t+5(U),ys_t+5(L),ys_t+30(U),ys_t+30(L)
0.7638463,0.8416618,0.017849822,0.027024597,0.04843731,0.09754074,480960,0.97861886,0.5490737,1.0692252,0.6140984,0.18189688,-0.14619724,0.19725646,-0.14320727,0.32181162,-0.224937,0.3989467,-0.20386523
0.7637265,0.8417084,0.017809516,0.026965784,0.04837502,0.0974884,480961,0.97849905,0.5489539,1.0692718,0.61414504,0.18185657,-0.14623755,0.19719765,-0.14326608,0.32174933,-0.2249993,0.39889437,-0.20391756
0.7635872,0.8417459,0.01777939,0.02691931,0.04834672,0.09745934,480962,0.97835976,0.5488146,1.0693094,0.6141825,0.18182646,-0.14626767,0.19715117,-0.14331256,0.32172105,-0.22502759,0.3988653,-0.20394662
0.7634706,0.8417939,0.017752964,0.026871396,0.048373383,0.097489275,480963,0.9782432,0.548698,1.0693573,0.6142305,0.18180002,-0.1462941,0.19710326,-0.14336047,0.3217477,-0.22500093,0.39889523,-0.2039167
0.76336765,0.8418417,0.017719034,0.02681865,0.048370324,0.097486876,480964,0.97814023,0.5485951,1.0694051,0.6142783,0.1817661,-0.14632803,0.19705051,-0.14341322,0.32174465,-0.22500399,0.39889285,-0.20391908
0.7632262,0.8418679,0.017679447,0.026767856,0.048243128,0.09736765,480965,0.9779988,0.5484536,1.0694313,0.61430454,0.18172652,-0.14636761,0.19699971,-0.14346401,0.32161745,-0.22513118,0.3987736,-0.20403832
0.7630683,0.8418854,0.017615493,0.026681589,0.048287056,0.09739552,480966,0.9778409,0.54829574,1.0694488,0.61432195,0.18166256,-0.14643157,0.19691345,-0.14355028,0.32166138,-0.22508726,0.39880148,-0.20401046
0.7629855,0.84194195,0.017591022,0.026642311,0.04825307,0.09737345,480967,0.9777581,0.54821295,1.0695053,0.6143786,0.18163809,-0.14645603,0.19687417,-0.14358956,0.32162738,-0.22512124,0.39877942,-0.20403251
0.76288164,0.84197825,0.017538173,0.026563654,0.048227064,0.09734296,480968,0.9776542,0.54810905,1.0695417,0.6144148,0.18158524,-0.14650889,0.19679552,-0.1436682,0.3216014,-0.22514725,0.39874893,-0.204063
0.76277345,0.84201384,0.017485734,0.026494764,0.04820652,0.097326785,480969,0.97754604,0.5480009,1.0695772,0.61445045,0.1815328,-0.14656132,0.19672662,-0.14373711,0.32158083,-0.2251678,0.39873275,-0.20407918
0.7626586,0.84204763,0.017444195,0.026442327,0.048201274,0.097315855,480970,0.9774312,0.547886,1.0696111,0.6144842,0.18149126,-0.14660287,0.1966742,-0.14378953,0.32157558,-0.22517304,0.3987218,-0.20409012
0.7624473,0.8420039,0.017345693,0.026337346,0.048035942,0.09713807,480971,0.9772199,0.5476747,1.0695673,0.61444044,0.18139276,-0.14670137,0.1965692,-0.14389452,0.32141027,-0.22533837,0.39854404,-0.20426789
0.7623954,0.84210163,0.017357517,0.026327888,0.04818707,0.097304605,480972,0.97716796,0.5476228,1.0696651,0.6145382,0.18140458,-0.14668955,0.19655976,-0.14390397,0.3215614,-0.22518724,0.39871058,-0.20410135
